Category ID,Category Title,Products,Pages,Category ID
5xtgc,Target / baby / nursery / nursery furniture / cribs,128,3,http://www.target.com/c/cribs-nursery-furniture/-/N-5xtgc#?lnk=ct_menu_02_14&intc=1865088|null
5xtgb,Target / baby / nursery / nursery furniture / gliders & ottomans,71,2,http://www.target.com/c/gliders-ottomans-nursery-furniture/-/N-5xtgb#?lnk=lnav_shop%20categories_6&intc=824551%7Cnull
5xtg8,Target / baby / nursery / nursery furniture / travel beds,17,1,http://www.target.com/c/travel-beds-nursery-furniture/-/N-5xtg8#?lnk=lnav_shop%20categories_8&intc=824551%7Cnull
5xtkg,Target / baby / nursing & feeding / highchairs & accessories,135,3,http://www.target.com/c/highchairs-accessories-nursing-feeding-baby/-/N-5xtkg
5xtk6,Target / baby / strollers / car seat carriers,5,1,http://www.target.com/c/car-seat-carriers-strollers-baby/-/N-5xtk6#?lnk=secondary_nav_section_0_link_5
5xtk4,Target / baby / strollers / full-size strollers,46,1,http://www.target.com/c/full-size-strollers-baby/-/N-5xtk4#?lnk=secondary_nav_section_0_link_0
5xtk3,Target / baby / strollers / joggers,47,1,http://www.target.com/c/joggers-strollers-baby/-/N-5xtk3#?lnk=secondary_nav_section_0_link_1
5xtk2,Target / baby / strollers / lightweight strollers,37,1,http://www.target.com/c/lightweight-strollers-baby/-/N-5xtk2#?lnk=secondary_nav_section_0_link_3
5xtjw,Target / baby / strollers / travel systems,43,1,http://www.target.com/c/travel-systems-strollers-baby/-/N-5xtjw#?lnk=secondary_nav_section_0_link_2
4yibf,Target / back to college / college & apartment furniture / college accent furniture,121,3,http://www.target.com/c/college-accent-furniture-apartment-back-to/-/N-4yibf#?lnk=lnav_shop categories_2
4yibe,Target / back to college / college & apartment furniture / college bedroom furniture,335,6,http://www.target.com/c/college-bedroom-furniture-apartment-back-to/-/N-4yibe
4yibc,Target / back to college / college & apartment furniture / college desks & desk chairs,163,3,http://www.target.com/c/college-desks-desk-chairs-apartment-furniture-back-to/-/N-4yibc#?lnk=lnav_shop categories_5
4yib9,Target / back to college / college & apartment furniture / college kitchen & dining furniture,69,2,http://www.target.com/c/college-kitchen-dining-furniture-apartment-back-to/-/N-4yib9
5v9x9,Target / back to college / college bedding,685,12,http://www.target.com/c/college-bedding-back-to/-/N-5v9x9#?lnk=secondary_nav_section_0_link_1
4yiav,Target / back to college / college bedding / college bed in a bag,345,6,http://www.target.com/c/college-bed-in-a-bag-bedding-back-to/-/N-4yiav#?lnk=lnav_shop categories_1
4yiax,Target / back to college / college bedding / college blankets & throws,46,1,http://www.target.com/c/college-blankets-throws-bedding-back-to/-/N-4yiax#?lnk=lnav_shop categories_3
4yiau,Target / back to college / college bedding / college extra long twin,159,3,http://www.target.com/c/college-extra-long-twin-bedding-back-to/-/N-4yiau#?lnk=lnav_shop categories_6
4yiat,Target / back to college / college bedding / college mattress pads & mattress protectors,31,1,http://www.target.com/c/college-mattress-pads-protectors-bedding-back-to/-/N-4yiat#?lnk=lnav_shop categories_7
4yiah,Target / back to college / college laundry,143,3,http://www.target.com/c/college-laundry-back-to/-/N-4yiah#?lnk=secondary_nav_section_0_link_7
5xu1m,Target / beauty / bath & body,1100,19,http://www.target.com/c/bath-body-beauty/-/N-5xu1m#?lnk=ct_menu_08_13&intc=1865095|null
5xu1g,Target / beauty / bath & body / bubble bath & soaks,105,2,http://www.target.com/c/bubble-bath-soaks-body-beauty/-/N-5xu1g#?lnk=lnav_%20%09%09%09%09%09%09shop%20categories%09%09%09%09%09_7&intc=3163055%7Cnull
56ho4,Target / beauty / hair care / hair accessories,697,12,http://www.target.com/c/hair-accessories-care-beauty/-/N-56ho4#?lnk=lnav_shop%20categories_1&intc=2774002%7Cnull
5xu0i,Target / beauty / hair care / hair brushes & combs,184,4,http://www.target.com/c/hair-brushes-combs-care-beauty/-/N-5xu0i#?lnk=lnav_shop%20categories_3&intc=2774002%7Cnull
4ynaz,Target / beauty / hair care / hair extensions,4,1,http://www.target.com/c/hair-extensions-care-beauty/-/N-4ynaz#?lnk=lnav_shop%20categories_10&intc=2774002%7Cnull
5xu0j,Target / beauty / hair care / hair styling tools,449,8,http://www.target.com/c/hair-styling-tools-care-beauty/-/N-5xu0j#?lnk=lnav_shop%20categories_2&intc=2774002%7Cnull
4ujf7,Target / beauty / hair care / salon hair care,168,3,http://www.target.com/c/salon-hair-care-beauty/-/N-4ujf7#?lnk=lnav_shop%20categories_9&intc=2774002%7Cnull
5xu0f,Target / beauty / hair care / styling products,732,13,http://www.target.com/c/styling-products-hair-care-beauty/-/N-5xu0f#?lnk=lnav_shop%20categories_6&intc=2774002%7Cnull
4ucor,Target / beauty / hair care / trial size,95,2,http://www.target.com/c/trial-size-ways-to-shop-beauty/-/N-4ucor#?lnk=lnav_%20%09%09%09%09%09%09shop%20categories%09%09%09%09%09_2&intc=3161074%7Cnull
5xu1d,Target / beauty / makeup / bags & organizers,275,5,http://www.target.com/c/bags-organizers-makeup-beauty/-/N-5xu1d#?lnk=lnav_shop%20categories_1&intc=2780001%7Cnull
5xu1c,Target / beauty / makeup / beauty accessories,158,3,http://www.target.com/c/beauty-accessories-makeup/-/N-5xu1c#?lnk=lnav_shop%20categories_2&intc=2780001%7Cnull
5xu18,Target / beauty / makeup / eyes,773,13,http://www.target.com/c/eyes-makeup-beauty/-/N-5xu18#?lnk=lnav_shop%20categories_6&intc=2780001%7Cnull
5xu1a,Target / beauty / makeup / makeup sets,89,2,http://www.target.com/c/makeup-sets-beauty/-/N-5xu1a#?lnk=lnav_shop%20categories_4&intc=2780001%7Cnull
5xtzi,Target / beauty / skin care / facial cleansers,519,9,http://www.target.com/c/facial-cleansers-skin-care-beauty/-/N-5xtzi#?lnk=lnav_shop%20categories_1&intc=2768503%7Cnull
55aja,Target / beauty / skin care / premium skin care,364,7,http://www.target.com/c/premium-skin-care-beauty/-/N-55aja#?lnk=lnav_shop%20categories_10&intc=2768503%7Cnull
5xtz6,Target / beauty / skin care / skin care devices,48,1,http://www.target.com/c/skin-care-devices-beauty/-/N-5xtz6#?lnk=lnav_shop%20categories_8&intc=2768503%7Cnull
5xtzb,Target / beauty / skin care / sun & tanning,291,5,http://www.target.com/c/sun-tanning-skin-care-beauty/-/N-5xtzb#?lnk=lnav_shop%20categories_6&intc=2768503%7Cnull
5xtz8,Target / beauty / spa & massage / accessories,80,2,http://www.target.com/c/accessories-spa-massage-beauty/-/N-5xtz8#?lnk=lnav_%20%09%09%09%09%09%09shop%20categories%09%09%09%09%09_1&intc=3163587%7Cnull
5xtz5,Target / beauty / spa & massage / foot & hand spas,18,1,http://www.target.com/c/foot-hand-spas-spa-massage-beauty/-/N-5xtz5#?lnk=lnav_%20%09%09%09%09%09%09shop%20categories%09%09%09%09%09_3&intc=3163587%7Cnull
54x8k,Target / beauty / beauty gifts,394,7,http://www.target.com/c/beauty-gifts-ways-to-shop/-/N-54x8k#?lnk=ct_menu_08_3&intc=1865095|null
55md5,Target / beauty / ways to shop / beauty concierge,32,1,http://www.target.com/c/beauty-concierge-ways-to-shop/-/N-55md5#?lnk=ct_menu_08_4&intc=1865095|null
5xt2z,Target / Christmas / Christmas trees,384,7,http://www.target.com/c/christmas-trees/-/N-5xt2z#?lnk=lnav_shop categories_1
4y6ky,Target / clothing / baby clothing / baby boy clothing / baby essentials,71,2,http://www.target.com/c/baby-essentials-boy-clothing/-/N-4y6ky#?lnk=lnav_shop categories_1
4y6l6,Target / clothing / baby clothing / baby boy clothing / character shop,256,5,http://www.target.com/c/character-shop-baby-boy-clothing/-/N-4y6l6#?lnk=lnav_shop categories_4
4y6kx,Target / clothing / baby clothing / baby boy clothing / gift sets,60,1,http://www.target.com/c/gift-sets-baby-boy-clothing/-/N-4y6kx#?lnk=lnav_shop categories_5
4y6l3,Target / clothing / baby clothing / baby boy clothing / outerwear & jackets,3,1,http://www.target.com/c/outerwear-jackets-baby-boy-clothing/-/N-4y6l3#?lnk=lnav_shop categories_6
4y6l5,Target / clothing / baby clothing / baby boy clothing / outfits,217,4,http://www.target.com/c/outfits-baby-boy-clothing/-/N-4y6l5#?lnk=lnav_shop categories_7
4y6l1,Target / clothing / baby clothing / baby boy clothing / pajamas,169,3,http://www.target.com/c/pajamas-baby-boy-clothing/-/N-4y6l1#?lnk=lnav_shop categories_8
4y6l2,Target / clothing / baby clothing / baby boy clothing / swimsuits,74,2,http://www.target.com/c/swimsuits-baby-boy-clothing/-/N-4y6l2#?lnk=lnav_shop categories_11
4uf2g,Target / clothing / baby clothing / baby boy clothing / tops / graphic tees,143,3,http://www.target.com/c/graphic-tees-tops-baby-boy-clothing/-/N-4uf2g#?lnk=lnav_shop categories_1
4uf2d,Target / clothing / baby clothing / baby boy clothing / tops / sweaters,3,1,http://www.target.com/c/sweaters-tops-baby-boy-clothing/-/N-4uf2d#?lnk=lnav_shop categories_4
4uf2f,Target / clothing / baby clothing / baby boy clothing / tops / tees,276,5,http://www.target.com/c/tees-tops-baby-boy-clothing/-/N-4uf2f#?lnk=lnav_shop categories_5
5589d,Target / clothing / baby clothing / baby girl clothing / baby essentials,61,2,http://www.target.com/c/baby-essentials-girl-clothing/-/N-5589d#?lnk=lnav_shop categories_1
553h3,Target / clothing / baby clothing / baby girl clothing / character shop,89,2,http://www.target.com/c/character-shop-baby-girl-clothing/-/N-553h3#?lnk=lnav_shop categories_4
55zlw,Target / clothing / baby clothing / baby girl clothing / outerwear & jackets,11,1,http://www.target.com/c/outerwear-jackets-baby-girl-clothing/-/N-55zlw#?lnk=lnav_shop categories_7
557v2,Target / clothing / baby clothing / baby girl clothing / swimsuits,94,2,http://www.target.com/c/swimsuits-baby-girl-clothing/-/N-557v2#?lnk=lnav_shop categories_12
55tel,Target / clothing / baby clothing / baby girl clothing / tops,185,4,http://www.target.com/c/tops-baby-girl-clothing/-/N-55tel#?lnk=lnav_shop categories_13
557ua,"Target / clothing / baby clothing / baby girl clothing / towels, washcloths & robes",76,2,http://www.target.com/c/towels-washcloths-robes-baby-girl-clothing/-/N-557ua#?lnk=lnav_shop categories_14
4tg11,Target / clothing / baby clothing / shop by size / 0-3m,777,13,http://www.target.com/c/0-3m-shop-by-size-baby-clothing/-/N-4tg11#?lnk=lnav_shop categories_1
4tg0y,Target / clothing / baby clothing / shop by size / 12-18m,1388,24,http://www.target.com/c/12-18m-shop-by-size-baby-clothing/-/N-4tg0y#?lnk=lnav_shop categories_2
