category,start page,last page,full_name - you must delete this column before uploading!!!
http://www.petsmart.com/cat/litter/cat-36-catid-200093,1,5,Home  /  Cat  /  Supplies & Training  /  Litter & Waste Disposal  /  Litter
http://www.petsmart.com/cat/litter-boxes/cat-36-catid-200094,1,2,Home  /  Cat  /  Supplies & Training  /  Litter & Waste Disposal  /  Litter Boxes
http://www.petsmart.com/cat/mats-liners/cat-36-catid-200097,1,2,Home  /  Cat  /  Supplies & Training  /  Litter & Waste Disposal  /  Mats & Liners
http://www.petsmart.com/cat/waste-disposal/cat-36-catid-200096,1,1,Home  /  Cat  /  Supplies & Training  /  Litter & Waste Disposal  /  Waste Disposal
http://www.petsmart.com/cat/pet-memorials/cat-36-catid-200019,1,1,Home  /  Cat  /  Supplies & Training  /  Pet Memorials
http://www.petsmart.com/cat/repellents/cat-36-catid-200020,1,1,Home  /  Cat  /  Supplies & Training  /  Repellents
http://www.petsmart.com/cat/deodorizers/cat-36-catid-200074,1,1,Home  /  Cat  /  Supplies & Training  /  Stain & Odor Removers  /  Deodorizers
http://www.petsmart.com/cat/furniture-home-protection/cat-36-catid-200079,1,1,Home  /  Cat  /  Supplies & Training  /  Stain & Odor Removers  /  Furniture & Home Protection
http://www.petsmart.com/cat/pet-hair-removers/cat-36-catid-200075,1,1,Home  /  Cat  /  Supplies & Training  /  Stain & Odor Removers  /  Pet Hair Removers
http://www.petsmart.com/cat/stain-odor-removers/cat-36-catid-200073,1,2,Home  /  Cat  /  Supplies & Training  /  Stain & Odor Removers  /  Stain & Odor Removers
http://www.petsmart.com/cat/waste-disposal/cat-36-catid-200077,1,1,Home  /  Cat  /  Supplies & Training  /  Stain & Odor Removers  /  Waste Disposal
http://www.petsmart.com/cat/toy-boxes/cat-36-catid-200105,1,1,Home  /  Cat  /  Supplies & Training  /  Toys  /  Toy Boxes
http://www.petsmart.com/cat/toys/cat-36-catid-200099,1,15,Home  /  Cat  /  Supplies & Training  /  Toys  /  Toys
http://www.petsmart.com/dog/books/cat-36-catid-100167,1,1,Home  /  Dog  /  Featured Shops  /  Gifts for Dog Lovers  /  Books
http://www.petsmart.com/dog/breed-specific/cat-36-catid-100168,1,1,Home  /  Dog  /  Featured Shops  /  Gifts for Dog Lovers  /  Breed Specific
http://www.petsmart.com/dog/clothing-accessories/cat-36-catid-100170,1,4,Home  /  Dog  /  Featured Shops  /  Gifts for Dog Lovers  /  Clothing & Accessories
http://www.petsmart.com/dog/housewares/cat-36-catid-100171,1,1,Home  /  Dog  /  Featured Shops  /  Gifts for Dog Lovers  /  Housewares
http://www.petsmart.com/dog/beds/cat-36-catid-100174,1,2,Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Beds
http://www.petsmart.com/dog/bowls/cat-36-catid-100175,1,1,Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Bowls
http://www.petsmart.com/dog/collars-harnesses-leashes/cat-36-catid-100177,1,1,"Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Collars, Harnesses & Leashes"
http://www.petsmart.com/dog/crates-carriers/cat-36-catid-100178,1,2,Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Crates & Carriers
http://www.petsmart.com/dog/food/cat-36-catid-100179,1,4,Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Food
http://www.petsmart.com/dog/health-grooming/cat-36-catid-100180,1,1,Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Health & Grooming
http://www.petsmart.com/dog/potty-training/cat-36-catid-100202,1,2,Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Potty Training
http://www.petsmart.com/dog/stain-odor-control/cat-36-catid-100176,1,2,Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Stain & Odor Control
http://www.petsmart.com/dog/toys/cat-36-catid-100181,1,1,Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Toys
http://www.petsmart.com/dog/treats/cat-36-catid-100182,1,1,Home  /  Dog  /  Featured Shops  /  New Puppy Center  /  Treats
http://www.petsmart.com/dog/bandanas-hats/cat-36-catid-100192,1,3,Home  /  Dog  /  Featured Shops  /  Team Shop  /  Bandanas & Hats
http://www.petsmart.com/dog/clothes/cat-36-catid-100197,1,12,Home  /  Dog  /  Featured Shops  /  Team Shop  /  Clothes
http://www.petsmart.com/dog/collars-leashes/cat-36-catid-100195,1,12,Home  /  Dog  /  Featured Shops  /  Team Shop  /  Collars & Leashes
http://www.petsmart.com/dog/id-tags/cat-36-catid-100196,1,1,Home  /  Dog  /  Featured Shops  /  Team Shop  /  ID Tags
http://www.petsmart.com/dog/sweaters-coats/cat-36-catid-100250,1,1,Home  /  Dog  /  Featured Shops  /  Team Shop  /  Sweaters & Coats
http://www.petsmart.com/dog/toys/cat-36-catid-100199,1,10,Home  /  Dog  /  Featured Shops  /  Team Shop  /  Toys
http://www.petsmart.com/dog/breath-fresheners/cat-36-catid-100039,1,1,Home  /  Dog  /  Food & Health  /  Dental Care  /  Breath Fresheners
http://www.petsmart.com/dog/dental-sprays-rinses/cat-36-catid-100041,1,1,Home  /  Dog  /  Food & Health  /  Dental Care  /  Dental Sprays & Rinses
http://www.petsmart.com/dog/dental-treats/cat-36-catid-100038,1,5,Home  /  Dog  /  Food & Health  /  Dental Care  /  Dental Treats
http://www.petsmart.com/dog/toothbrushes-toothpaste/cat-36-catid-100040,1,2,Home  /  Dog  /  Food & Health  /  Dental Care  /  Toothbrushes & Toothpaste
http://www.petsmart.com/dog/collars/cat-36-catid-100042,1,1,Home  /  Dog  /  Food & Health  /  Flea & Tick  /  Collars
http://www.petsmart.com/dog/combs-tools/cat-36-catid-100043,1,1,Home  /  Dog  /  Food & Health  /  Flea & Tick  /  Combs & Tools
http://www.petsmart.com/dog/home-yard-treatment/cat-36-catid-100047,1,1,Home  /  Dog  /  Food & Health  /  Flea & Tick  /  Home & Yard Treatment
http://www.petsmart.com/dog/pet-sprays/cat-36-catid-100045,1,1,Home  /  Dog  /  Food & Health  /  Flea & Tick  /  Pet Sprays
http://www.petsmart.com/dog/pills/cat-36-catid-100205,1,1,Home  /  Dog  /  Food & Health  /  Flea & Tick  /  Pills
http://www.petsmart.com/dog/shampoos-dips/cat-36-catid-100046,1,1,Home  /  Dog  /  Food & Health  /  Flea & Tick  /  Shampoos & Dips
http://www.petsmart.com/dog/spot-ons/cat-36-catid-100044,1,3,Home  /  Dog  /  Food & Health  /  Flea & Tick  /  Spot Ons
http://www.petsmart.com/dog/canned-food/cat-36-catid-100031,1,19,Home  /  Dog  /  Food & Health  /  Food  /  Canned Food
http://www.petsmart.com/dog/dry-food/cat-36-catid-100032,1,29,Home  /  Dog  /  Food & Health  /  Food  /  Dry Food
http://www.petsmart.com/dog/food-pouches/cat-36-catid-100033,1,1,Home  /  Dog  /  Food & Health  /  Food  /  Food Pouches
http://www.petsmart.com/dog/food-toppers/cat-36-catid-100034,1,1,Home  /  Dog  /  Food & Health  /  Food  /  Food Toppers
http://www.petsmart.com/dog/fresh-food/cat-36-catid-100035,1,1,Home  /  Dog  /  Food & Health  /  Food  /  Fresh Food
http://www.petsmart.com/dog/frozen-food/cat-36-catid-100036,1,1,Home  /  Dog  /  Food & Health  /  Food  /  Frozen Food
http://www.petsmart.com/dog/biscuits-bakery/cat-36-catid-100048,1,8,Home  /  Dog  /  Food & Health  /  Treats & Rawhide  /  Biscuits & Bakery
http://www.petsmart.com/dog/bones-rawhide/cat-36-catid-100050,1,9,Home  /  Dog  /  Food & Health  /  Treats & Rawhide  /  Bones & Rawhide
http://www.petsmart.com/dog/chewy-treats/cat-36-catid-100051,1,12,Home  /  Dog  /  Food & Health  /  Treats & Rawhide  /  Chewy Treats
http://www.petsmart.com/dog/dental-treats/cat-36-catid-100049,1,5,Home  /  Dog  /  Food & Health  /  Treats & Rawhide  /  Dental Treats
